age,salary,balance,credit_score,tenure,products,active_member,churn
56,125186,84082,366,18,2,0,1
69,54674,150201,306,14,3,1,0
46,55854,128322,825,3,2,1,0
32,66271,132663,372,12,2,1,0
60,93688,11303,698,9,3,1,0
25,58518,161633,704,7,2,1,0
38,131076,71719,429,9,2,1,0
56,30267,249690,765,13,3,0,0
36,110825,223180,505,18,2,1,0
40,21062,99616,565,5,2,0,1
28,136664,124165,836,13,2,0,0
28,70448,86231,552,4,3,0,1
41,115462,7314,588,2,1,1,0
53,26229,248143,463,16,3,0,1
57,76793,19623,394,9,1,1,0
41,134813,198747,409,9,2,1,0
20,67915,244064,635,6,1,0,0
39,24632,227898,537,11,3,1,0
19,124592,196154,680,1,3,0,0
41,23596,214696,735,4,2,0,1
61,129779,105228,782,13,1,1,1
47,26168,164202,324,13,2,0,1
55,128099,182828,416,13,2,0,1
19,27561,97624,781,2,3,0,1
38,93794,157364,691,9,1,1,0
50,102152,111785,836,8,1,0,0
29,145036,86206,378,7,1,1,0
39,144049,69274,472,4,1,1,0
61,46734,133541,311,18,2,0,1
42,26371,53947,427,3,2,0,1
66,138894,153606,391,6,3,1,1
44,46069,194692,842,12,2,1,0
59,99905,48874,831,12,2,0,0
45,32910,49708,746,8,3,0,1
33,93479,74553,689,1,3,1,0
32,97735,68344,342,4,3,1,0
64,101264,49138,553,11,2,1,0
68,43275,185374,429,3,2,1,1
61,92274,47638,359,13,3,1,0
69,101449,78249,766,17,3,0,0
20,120776,105865,586,10,3,1,0
54,80004,2719,816,12,2,1,1
68,82981,153962,766,15,2,0,0
24,104659,208308,644,10,1,0,1
38,74553,167581,681,14,2,1,0
26,68447,42534,552,13,2,1,0
56,54529,233374,355,5,2,0,1
35,146394,92241,762,6,3,1,0
21,95703,149859,756,2,2,1,0
42,96090,126209,382,17,3,0,0
31,37260,179917,398,4,1,1,0
67,132581,189004,448,14,1,0,0
26,23812,92124,628,10,3,0,0
43,48024,91659,455,3,3,0,0
19,78656,164134,489,3,3,0,0
37,136148,75713,793,15,2,1,0
45,47285,218335,562,6,1,0,0
64,112436,226828,379,17,3,1,0
24,136421,191533,699,12,2,1,0
61,21605,75418,559,11,1,1,1
25,91158,197744,400,4,2,1,0
64,92303,128232,658,6,1,1,0
52,47139,165904,679,1,2,0,1
31,97149,163038,520,16,1,0,0
34,76138,203617,719,15,1,0,0
53,138205,144059,423,17,2,0,0
67,96125,168383,721,8,3,1,1
57,33918,31575,530,12,1,0,1
21,105655,63852,362,10,3,1,0
19,47446,132079,784,15,2,1,1
23,144040,202053,782,9,3,0,0
59,33046,76242,818,2,3,0,1
21,149922,178589,454,5,3,0,0
46,44818,241094,391,6,3,0,1
35,120894,29257,825,7,3,1,0
43,135751,218344,754,1,1,1,0
61,24324,173279,809,7,1,0,1
51,96323,144353,482,12,1,1,1
27,29111,61246,685,16,2,1,0
53,58110,1435,704,16,3,1,1
31,36389,229947,545,11,1,0,1
48,142177,231758,770,4,2,1,0
65,61427,91357,722,13,1,0,1
32,99579,157732,364,7,1,0,0
25,48746,136156,312,4,3,1,0
31,142883,213269,512,15,2,1,0
40,107886,144579,541,19,3,0,0
57,127141,203667,792,9,3,1,0
38,20117,83807,512,11,1,1,0
33,145808,176611,637,8,3,0,1
62,132221,115953,472,1,2,0,0
35,104471,138563,463,8,3,0,1
64,132613,243903,764,13,3,0,1
41,33234,181264,796,4,3,1,0
43,149597,211467,694,8,1,1,0
42,123864,123797,607,3,2,0,1
62,73441,63888,482,9,1,0,0
58,20846,73609,809,2,1,0,1
46,30954,9077,845,2,1,1,0
32,99239,248512,526,13,1,0,1
62,133689,20953,735,15,1,1,1
18,66514,207991,721,12,2,0,0
42,108236,114682,320,4,3,0,1
24,117579,67889,696,8,1,0,0
26,148644,154893,404,9,1,1,0
41,26469,168639,491,5,2,1,1
18,50105,115374,316,18,2,1,0
61,62101,24860,419,11,3,0,1
25,84323,152267,692,15,2,1,0
41,111922,77475,724,9,3,1,0
28,78067,221946,428,17,1,0,0
68,69376,87266,429,12,1,0,1
34,65587,152499,328,7,3,1,0
25,56976,100732,396,10,2,1,0
52,124587,27083,309,10,3,1,0
52,147534,218118,541,13,2,1,0
50,87584,57372,531,19,1,0,0
22,124537,123786,583,11,2,0,0
59,98477,175136,499,13,3,0,1
56,130911,7813,378,8,3,1,1
58,62533,31598,472,8,1,1,1
45,21828,243790,766,4,2,0,1
24,21917,93106,715,15,2,0,1
26,40618,27082,748,11,2,1,0
25,52254,29241,386,11,1,1,0
29,125292,227286,400,1,2,0,0
51,136714,175641,307,17,3,0,1
50,67362,11745,499,15,2,0,0
65,40128,26029,804,6,1,1,0
40,143781,144097,386,15,2,1,0
41,131281,232732,342,9,2,1,0
54,79383,123395,684,14,3,1,0
52,85545,145360,734,18,2,1,1
61,102180,89186,707,17,3,1,0
57,107958,137612,782,18,3,0,1
39,29865,97768,316,5,1,0,1
44,22219,213030,447,9,3,1,0
52,59809,199950,576,11,3,0,1
18,136748,41846,531,1,1,1,0
52,25287,232220,665,18,3,0,0
54,146593,75932,527,6,1,1,0
64,54387,148554,735,2,2,0,1
31,28512,23411,698,15,1,0,1
20,21342,182047,510,14,3,1,1
18,83076,191617,690,5,1,1,0
22,128872,243374,798,6,3,0,0
43,39216,78797,839,6,2,0,1
31,137512,52307,790,18,1,1,0
56,136682,134165,741,14,2,0,1
44,113070,208330,560,10,3,1,0
26,99767,22042,649,14,3,1,0
32,117829,52930,651,13,2,0,0
32,46614,248656,819,3,1,1,0
43,56258,175485,619,6,1,0,0
59,113789,244459,437,8,3,0,1
30,62078,224695,849,12,2,1,0
68,126288,97883,667,13,2,0,0
49,103524,33756,519,11,1,1,0
56,116573,53268,636,12,1,1,0
66,32219,170286,522,1,1,1,0
69,20235,212943,659,17,2,0,0
49,62929,159674,628,16,1,1,0
21,147309,184403,762,11,1,0,0
47,87444,48901,681,13,3,1,0
54,28567,99986,468,18,1,1,0
40,121834,194488,516,11,1,1,0
56,90792,163268,677,12,2,0,1
62,85441,128386,418,6,2,0,1
32,104555,5626,489,9,3,1,0
60,93698,138496,669,16,1,1,0
46,144450,12857,448,4,3,0,1
53,137248,241531,787,3,2,0,1
30,25415,246693,673,16,3,0,1
49,56159,151054,459,12,2,1,0
24,63925,208033,650,11,3,0,0
68,146523,133052,587,5,3,1,0
39,25951,179362,587,18,1,0,0
45,107388,26431,525,19,3,1,0
19,28007,84976,822,6,1,1,0
59,146730,238360,821,18,1,1,1
62,61832,82711,572,6,1,0,1
23,78596,245259,701,4,1,0,0
45,141101,26385,482,12,3,0,1
45,50523,169230,787,19,2,1,0
61,108861,154091,423,2,2,1,0
61,144194,18639,713,17,2,0,1
37,106740,85530,471,11,3,1,0
47,35524,230983,587,11,1,1,1
28,149028,21563,734,16,2,1,0
45,39282,170413,412,2,3,0,1
42,43930,115672,421,2,1,1,1
56,20077,136848,843,8,2,0,1
50,125881,167516,521,13,1,0,1
18,145501,199988,338,10,2,0,0
44,40611,139783,796,8,2,0,1
69,36984,205390,532,4,2,0,1
30,34060,82970,829,15,1,1,0
58,102985,243373,448,1,3,0,1
20,104056,85553,696,11,1,0,0
56,145329,161779,601,7,2,0,1
23,63303,170182,659,17,1,1,0
25,79207,192860,537,18,3,1,0
44,95046,82879,535,12,1,1,0
26,49287,169899,502,9,3,1,0
54,113709,238260,555,5,3,0,1
